;Date;Index;Value
1;25/07/2017;Abertura;0.115203
2;26/07/2017;Abertura;0.105893
3;27/07/2017;Abertura;0.105108
4;28/07/2017;Abertura;0.107632
5;29/07/2017;Abertura;0.104782
6;30/07/2017;Abertura;0.107935
7;31/07/2017;Abertura;0.106828
8;01/08/2017;Abertura;0.104595
9;02/08/2017;Abertura;0.099721
10;03/08/2017;Abertura;0.100328
11;04/08/2017;Abertura;0.106685
12;05/08/2017;Abertura;0.107418
13;06/08/2017;Abertura;0.129293
14;07/08/2017;Abertura;0.133958
15;08/08/2017;Abertura;0.148998
16;09/08/2017;Abertura;0.224748
17;10/08/2017;Abertura;0.251827
18;11/08/2017;Abertura;0.348785
19;12/08/2017;Abertura;0.392193
20;13/08/2017;Abertura;0.445990
21;14/08/2017;Abertura;0.872918
22;15/08/2017;Abertura;1.327090
23;16/08/2017;Abertura;1.119690
24;17/08/2017;Abertura;1.436970
25;18/08/2017;Abertura;1.925190
26;19/08/2017;Abertura;2.334400
27;20/08/2017;Abertura;2.108210
28;21/08/2017;Abertura;2.430750
29;22/08/2017;Abertura;2.724450
30;23/08/2017;Abertura;2.473970
31;24/08/2017;Abertura;2.627360
32;25/08/2017;Abertura;2.390570
33;26/08/2017;Abertura;2.530380
34;27/08/2017;Abertura;2.179970
35;28/08/2017;Abertura;2.021490
36;29/08/2017;Abertura;2.106250
37;30/08/2017;Abertura;2.281940
38;31/08/2017;Abertura;2.328230
39;01/09/2017;Abertura;2.201690
40;02/09/2017;Abertura;2.500000
41;03/09/2017;Abertura;1.925480
42;04/09/2017;Abertura;1.576650
43;05/09/2017;Abertura;1.032510
44;06/09/2017;Abertura;0.990521
45;07/09/2017;Abertura;1.034340
46;08/09/2017;Abertura;1.398040
47;09/09/2017;Abertura;1.009200
48;10/09/2017;Abertura;0.982078
49;11/09/2017;Abertura;0.949186
50;12/09/2017;Abertura;1.033480
51;13/09/2017;Abertura;1.042900
52;14/09/2017;Abertura;0.937870
53;15/09/2017;Abertura;0.683305
54;16/09/2017;Abertura;0.808056
55;17/09/2017;Abertura;0.803423
56;18/09/2017;Abertura;0.789565
57;19/09/2017;Abertura;0.907398
58;20/09/2017;Abertura;0.815032
59;21/09/2017;Abertura;0.764013
60;22/09/2017;Abertura;0.698871
61;23/09/2017;Abertura;0.717196
62;24/09/2017;Abertura;0.775804
63;25/09/2017;Abertura;0.784244
64;26/09/2017;Abertura;0.918922
65;27/09/2017;Abertura;0.855698
66;28/09/2017;Abertura;1.148430
67;29/09/2017;Abertura;1.366980
68;30/09/2017;Abertura;1.270000
69;01/10/2017;Abertura;1.284180
70;02/10/2017;Abertura;1.526620
71;03/10/2017;Abertura;1.967830
72;04/10/2017;Abertura;1.851500
73;05/10/2017;Abertura;1.634990
74;06/10/2017;Abertura;1.677310
75;07/10/2017;Abertura;1.605260
76;08/10/2017;Abertura;1.576180
77;09/10/2017;Abertura;1.207710
78;10/10/2017;Abertura;1.431070
79;11/10/2017;Abertura;1.399440
80;12/10/2017;Abertura;1.429960
81;13/10/2017;Abertura;1.336510
82;14/10/2017;Abertura;1.469320
83;15/10/2017;Abertura;1.495130
84;16/10/2017;Abertura;1.555990
85;17/10/2017;Abertura;1.437680
86;18/10/2017;Abertura;1.393510
87;19/10/2017;Abertura;1.328680
88;20/10/2017;Abertura;1.283260
89;21/10/2017;Abertura;1.237350
90;22/10/2017;Abertura;1.255300
91;23/10/2017;Abertura;1.231360
92;24/10/2017;Abertura;1.176930
93;25/10/2017;Abertura;1.243410
94;26/10/2017;Abertura;1.260970
95;27/10/2017;Abertura;1.208750
96;28/10/2017;Abertura;1.180920
97;29/10/2017;Abertura;1.178370
98;30/10/2017;Abertura;1.233360
99;31/10/2017;Abertura;1.335950
100;01/11/2017;Abertura;1.335160
101;02/11/2017;Abertura;1.260250
102;03/11/2017;Abertura;1.294560
103;04/11/2017;Abertura;1.455980
104;05/11/2017;Abertura;1.637190
105;06/11/2017;Abertura;1.528790
